sourceNodeId,relationshipType,target_targetNode_gt_median
117,CITES,0
117,CITES,0
117,CITES,1
117,CITES,0
117,CITES,0
117,CITES,0
117,CITES,0
117,CITES,0
128,CITES,1
128,CITES,0
128,CITES,0
128,CITES,0
130,CITES,0
130,CITES,1
130,CITES,0
288,CITES,1
288,CITES,0
424,CITES,1
424,CITES,1
424,CITES,0
434,CITES,1
463,CITES,0
504,CITES,1
504,CITES,1
504,CITES,0
504,CITES,0
506,CITES,1
506,CITES,1
506,CITES,0
887,CITES,0
887,CITES,1
887,CITES,1
887,CITES,1
887,CITES,1
887,CITES,1
887,CITES,0
887,CITES,1
887,CITES,1
887,CITES,1
887,CITES,0
887,CITES,0
887,CITES,0
887,CITES,1
887,CITES,0
887,CITES,1
887,CITES,1
887,CITES,1
887,CITES,0
887,CITES,0
887,CITES,1
887,CITES,0
887,CITES,0
887,CITES,0
887,CITES,0
887,CITES,0
887,CITES,1
906,CITES,1
906,CITES,1
906,CITES,1
906,CITES,1
906,CITES,1
906,CITES,0
906,CITES,0
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,0
910,CITES,0
910,CITES,1
910,CITES,0
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,0
910,CITES,0
910,CITES,1
910,CITES,1
910,CITES,0
910,CITES,0
910,CITES,0
910,CITES,1
910,CITES,0
910,CITES,0
910,CITES,1
910,CITES,0
910,CITES,0
910,CITES,1
910,CITES,0
910,CITES,1
910,CITES,1
910,CITES,1
910,CITES,0
936,CITES,1
936,CITES,1
936,CITES,1
936,CITES,0
936,CITES,1
936,CITES,0
936,CITES,0
936,CITES,0
940,CITES,0
940,CITES,0
940,CITES,0
941,CITES,1
941,CITES,0
941,CITES,0
941,CITES,0
941,CITES,0
943,CITES,1
943,CITES,0
943,CITES,0
1026,CITES,0
1026,CITES,1
1026,CITES,1
1026,CITES,1
1026,CITES,1
1033,CITES,0
1033,CITES,1
1034,CITES,1
1035,CITES,0
1035,CITES,1
1035,CITES,1
1213,CITES,1
1213,CITES,1
1213,CITES,0
1237,CITES,1
1237,CITES,1
1237,CITES,1
1237,CITES,1
1246,CITES,1
1246,CITES,1
1246,CITES,0
1246,CITES,0
1246,CITES,0
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,0
1272,CITES,1
1272,CITES,0
1272,CITES,1
1272,CITES,0
1272,CITES,1
1272,CITES,0
1272,CITES,0
1272,CITES,1
1272,CITES,1
1272,CITES,0
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,1
1272,CITES,0
1272,CITES,0
1272,CITES,0
1272,CITES,0
1272,CITES,0
1272,CITES,0
1272,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,0
1365,CITES,0
1365,CITES,0
1365,CITES,0
1365,CITES,1
1365,CITES,0
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,0
1365,CITES,1
1365,CITES,0
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,0
1365,CITES,0
1365,CITES,0
1365,CITES,0
1365,CITES,1
1365,CITES,0
1365,CITES,0
1365,CITES,1
1365,CITES,0
1365,CITES,0
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1365,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,1
1481,CITES,0
1481,CITES,1
1481,CITES,1
1481,CITES,0
1481,CITES,1
1481,CITES,1
1688,CITES,1
1688,CITES,1
1688,CITES,1
1688,CITES,1
1688,CITES,1
1688,CITES,1
1688,CITES,1
1688,CITES,0
1688,CITES,0
1688,CITES,0
1688,CITES,1
1688,CITES,1
1688,CITES,0
1688,CITES,1
1688,CITES,0
1694,CITES,0
1717,CITES,1
1717,CITES,1
1717,CITES,1
1717,CITES,0
1717,CITES,1
1786,CITES,0
1817,CITES,1
1919,CITES,1
1919,CITES,1
1949,CITES,1
1949,CITES,0
1951,CITES,0
1952,CITES,1
1952,CITES,1
1952,CITES,0
1952,CITES,0
1953,CITES,1
1953,CITES,1
1953,CITES,1
1953,CITES,0
1955,CITES,1
1955,CITES,1
1955,CITES,1
1955,CITES,0
1956,CITES,1
1956,CITES,1
1956,CITES,1
1956,CITES,1
1956,CITES,1
1956,CITES,0
1956,CITES,1
1956,CITES,0
1959,CITES,1
1959,CITES,1
1959,CITES,1
1959,CITES,1
1959,CITES,1
1959,CITES,0
1959,CITES,1
1959,CITES,0
1959,CITES,0
1959,CITES,0
1997,CITES,1
1997,CITES,1
1997,CITES,1
1997,CITES,1
1997,CITES,1
1997,CITES,1
1997,CITES,0
1997,CITES,0
1997,CITES,0
1999,CITES,1
1999,CITES,1
1999,CITES,1
1999,CITES,0
1999,CITES,0
2354,CITES,0
2354,CITES,1
2354,CITES,1
2354,CITES,1
2354,CITES,1
2354,CITES,0
2354,CITES,0
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,0
2440,CITES,1
2440,CITES,0
2440,CITES,0
2440,CITES,0
2440,CITES,0
2440,CITES,0
2440,CITES,0
2440,CITES,1
2440,CITES,1
2440,CITES,1
2440,CITES,0
2440,CITES,0
2440,CITES,0
2440,CITES,0
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,1
2653,CITES,0
2653,CITES,1
2653,CITES,1
2653,CITES,0
2653,CITES,0
2653,CITES,0
2653,CITES,0
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,1
2654,CITES,0
2654,CITES,1
2654,CITES,0
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2658,CITES,1
2663,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,0
2665,CITES,1
2665,CITES,0
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2665,CITES,1
2695,CITES,1
2695,CITES,1
2695,CITES,0
2695,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,1
2696,CITES,0
2696,CITES,0
2696,CITES,1
2696,CITES,1
2696,CITES,0
2696,CITES,0
2696,CITES,1
2698,CITES,1
2698,CITES,1
2698,CITES,0
2698,CITES,1
2698,CITES,1
2702,CITES,1
2702,CITES,0
2702,CITES,1
2702,CITES,0
3084,CITES,1
3084,CITES,1
3084,CITES,0
3085,CITES,0
3085,CITES,1
3085,CITES,0
3085,CITES,1
3085,CITES,0
3085,CITES,0
3095,CITES,1
3095,CITES,1
3095,CITES,1
3095,CITES,0
3097,CITES,1
3097,CITES,1
3097,CITES,0
3097,CITES,0
3097,CITES,0
3101,CITES,1
3101,CITES,1
3101,CITES,1
3101,CITES,0
3112,CITES,1
3112,CITES,1
3112,CITES,1
3112,CITES,1
3112,CITES,0
3112,CITES,1
3112,CITES,0
3112,CITES,0
3187,CITES,1
3187,CITES,1
3187,CITES,1
3187,CITES,1
3187,CITES,0
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,1
3191,CITES,0
3191,CITES,1
3191,CITES,0
3191,CITES,1
3191,CITES,1
3192,CITES,1
3192,CITES,1
3192,CITES,1
3192,CITES,0
3192,CITES,1
3192,CITES,0
3192,CITES,1
3192,CITES,1
3217,CITES,1
3217,CITES,1
3217,CITES,1
3217,CITES,0
3217,CITES,0
3218,CITES,1
3218,CITES,1
3218,CITES,1
3218,CITES,1
3218,CITES,1
3218,CITES,1
3218,CITES,1
3218,CITES,1
3218,CITES,0
3218,CITES,1
3218,CITES,0
3218,CITES,0
3218,CITES,0
3218,CITES,0
3218,CITES,0
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,1
3220,CITES,0
3220,CITES,0
3220,CITES,0
3220,CITES,1
3220,CITES,1
3220,CITES,0
3220,CITES,0
3222,CITES,1
3222,CITES,1
3222,CITES,1
3222,CITES,1
3222,CITES,1
3222,CITES,1
3223,CITES,1
3223,CITES,1
3223,CITES,1
3223,CITES,1
3223,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,0
3229,CITES,1
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,1
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,1
3229,CITES,1
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,0
3229,CITES,1
3229,CITES,0
3229,CITES,1
3229,CITES,1
3229,CITES,0
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,1
3231,CITES,0
3231,CITES,0
3231,CITES,1
3231,CITES,1
3231,CITES,0
3231,CITES,1
3231,CITES,0
3231,CITES,0
3231,CITES,0
3231,CITES,0
3231,CITES,0
3231,CITES,0
3231,CITES,0
3231,CITES,1
3231,CITES,0
3231,CITES,0
3231,CITES,0
3231,CITES,0
3232,CITES,1
3232,CITES,1
3232,CITES,1
3232,CITES,0
3232,CITES,0
3232,CITES,1
3232,CITES,0
3233,CITES,1
3233,CITES,1
3233,CITES,1
3233,CITES,1
3233,CITES,0
3233,CITES,1
3233,CITES,1
3233,CITES,0
3233,CITES,1
3235,CITES,1
3235,CITES,0
3236,CITES,1
3236,CITES,1
3236,CITES,0
3236,CITES,0
3236,CITES,1
3237,CITES,1
3240,CITES,1
3240,CITES,1
3240,CITES,0
3240,CITES,0
3240,CITES,0
3240,CITES,1
3243,CITES,1
3243,CITES,1
3243,CITES,1
3243,CITES,1
3243,CITES,1
3243,CITES,0
3243,CITES,0
3243,CITES,0
3243,CITES,1
3243,CITES,1
3243,CITES,1
3243,CITES,0
3828,CITES,1
3828,CITES,0
3828,CITES,1
3828,CITES,1
3932,CITES,0
4274,CITES,1
4274,CITES,1
4274,CITES,1
4329,CITES,1
4329,CITES,1
4329,CITES,1
4329,CITES,0
4329,CITES,1
4329,CITES,0
4329,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,0
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,0
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,0
4330,CITES,1
4330,CITES,0
4330,CITES,1
4330,CITES,0
4330,CITES,0
4330,CITES,1
4330,CITES,1
4330,CITES,1
4330,CITES,0
4330,CITES,0
4330,CITES,1
4330,CITES,0
4330,CITES,0
4330,CITES,1
4330,CITES,1
4335,CITES,1
4335,CITES,1
4335,CITES,1
4335,CITES,1
4335,CITES,1
4335,CITES,1
4335,CITES,0
4335,CITES,1
4335,CITES,0
4335,CITES,0
4335,CITES,1
4335,CITES,0
4335,CITES,0
4335,CITES,0
4335,CITES,1
4335,CITES,0
4553,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,0
4584,CITES,0
4584,CITES,1
4584,CITES,0
4584,CITES,0
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,0
4584,CITES,0
4584,CITES,1
4584,CITES,0
4584,CITES,0
4584,CITES,0
4584,CITES,0
4584,CITES,0
4584,CITES,0
4584,CITES,0
4584,CITES,0
4584,CITES,1
4584,CITES,1
4584,CITES,1
4584,CITES,1
4637,CITES,0
4649,CITES,1
4649,CITES,1
4649,CITES,1
4649,CITES,1
4649,CITES,1
4649,CITES,0
4649,CITES,1
4649,CITES,0
4649,CITES,0
4660,CITES,0
4660,CITES,1
4660,CITES,0
4660,CITES,1
4804,CITES,1
4804,CITES,1
4804,CITES,1
4804,CITES,1
4804,CITES,0
4804,CITES,0
4804,CITES,1
4804,CITES,0
4804,CITES,0
4804,CITES,0
4804,CITES,0
4804,CITES,0
4804,CITES,1
4804,CITES,1
4878,CITES,1
4983,CITES,0
5055,CITES,1
5055,CITES,1
5055,CITES,1
5055,CITES,1
5055,CITES,1
5055,CITES,1
5062,CITES,1
5062,CITES,0
5062,CITES,0
5062,CITES,0
5062,CITES,1
5064,CITES,1
5064,CITES,1
5064,CITES,1
5064,CITES,1
5064,CITES,0
5064,CITES,1
5064,CITES,0
5069,CITES,1
5069,CITES,1
5069,CITES,0
5075,CITES,1
5075,CITES,0
5075,CITES,0
5086,CITES,1
5086,CITES,1
5086,CITES,1
5086,CITES,1
5086,CITES,0
5086,CITES,0
5086,CITES,1
5086,CITES,1
5086,CITES,1
5086,CITES,1
5086,CITES,0
5194,CITES,1
5194,CITES,1
5194,CITES,1
5194,CITES,1
5194,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,1
5348,CITES,0
5348,CITES,0
5348,CITES,1
5348,CITES,0
5348,CITES,1
5348,CITES,1
5454,CITES,1
5454,CITES,1
5454,CITES,1
5462,CITES,1
5462,CITES,1
5462,CITES,1
5462,CITES,0
5600,CITES,1
5600,CITES,1
5600,CITES,1
5600,CITES,0
5600,CITES,0
5869,CITES,1
5869,CITES,0
5959,CITES,1
5959,CITES,1
5959,CITES,1
5959,CITES,1
5966,CITES,1
5966,CITES,1
5966,CITES,1
5966,CITES,1
5966,CITES,1
5966,CITES,0
5966,CITES,0
5966,CITES,0
6125,CITES,1
6125,CITES,0
6125,CITES,0
6125,CITES,0
6125,CITES,1
6130,CITES,1
6130,CITES,1
6130,CITES,1
6130,CITES,1
6130,CITES,1
6151,CITES,1
6151,CITES,1
6151,CITES,1
6151,CITES,0
6151,CITES,1
6151,CITES,0
6151,CITES,0
6151,CITES,0
6151,CITES,0
6152,CITES,1
6155,CITES,1
6163,CITES,1
6163,CITES,1
6163,CITES,1
6163,CITES,0
6163,CITES,1
6163,CITES,0
6163,CITES,0
6163,CITES,0
6169,CITES,1
6169,CITES,1
6169,CITES,1
6169,CITES,1
6169,CITES,0
6169,CITES,0
6184,CITES,0
6184,CITES,1
6184,CITES,1
6184,CITES,1
6184,CITES,0
6184,CITES,0
6184,CITES,0
6184,CITES,1
6196,CITES,1
6196,CITES,1
6196,CITES,0
6196,CITES,0
6196,CITES,0
6196,CITES,1
6209,CITES,1
6209,CITES,1
6209,CITES,1
6209,CITES,1
6209,CITES,1
6209,CITES,1
6209,CITES,0
6209,CITES,0
6209,CITES,0
6209,CITES,0
6209,CITES,0
6210,CITES,1
6213,CITES,0
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,1
6213,CITES,0
6213,CITES,1
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,0
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,0
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,1
6213,CITES,0
6213,CITES,1
6213,CITES,0
6214,CITES,1
6214,CITES,1
6214,CITES,1
6214,CITES,1
6214,CITES,1
6214,CITES,1
6214,CITES,1
6214,CITES,1
6214,CITES,0
6214,CITES,1
6214,CITES,1
6214,CITES,0
6214,CITES,0
6214,CITES,0
6214,CITES,0
6214,CITES,1
6214,CITES,0
6214,CITES,1
6214,CITES,0
6214,CITES,0
6214,CITES,0
6214,CITES,0
6214,CITES,0
6214,CITES,1
6214,CITES,0
6214,CITES,0
6214,CITES,0
6214,CITES,1
6215,CITES,1
6215,CITES,0
6216,CITES,1
6216,CITES,1
6216,CITES,1
6216,CITES,1
6216,CITES,0
6216,CITES,1
6220,CITES,1
6220,CITES,0
6220,CITES,0
6224,CITES,0
6224,CITES,1
6224,CITES,0
6238,CITES,0
6238,CITES,1
6238,CITES,1
6238,CITES,0
6311,CITES,1
6311,CITES,1
6311,CITES,1
6311,CITES,0
6318,CITES,1
6318,CITES,1
6318,CITES,1
6318,CITES,0
6334,CITES,1
6334,CITES,1
6334,CITES,1
6334,CITES,1
6334,CITES,1
6334,CITES,1
6334,CITES,1
6334,CITES,1
6334,CITES,0
6334,CITES,0
6334,CITES,1
6334,CITES,0
6334,CITES,0
6343,CITES,1
6343,CITES,1
6343,CITES,1
6343,CITES,1
6343,CITES,1
6344,CITES,1
6344,CITES,1
6346,CITES,1
6346,CITES,1
6378,CITES,1
6378,CITES,1
6378,CITES,0
6385,CITES,1
6385,CITES,1
6385,CITES,0
6385,CITES,0
6385,CITES,0
6385,CITES,0
6385,CITES,1
6385,CITES,1
6539,CITES,1
6639,CITES,1
6639,CITES,1
6639,CITES,1
6639,CITES,1
6741,CITES,1
6741,CITES,1
6741,CITES,1
6741,CITES,1
6741,CITES,1
6741,CITES,0
6741,CITES,0
6741,CITES,0
6741,CITES,0
6767,CITES,1
6767,CITES,1
6767,CITES,1
6767,CITES,1
6767,CITES,0
6767,CITES,0
6767,CITES,0
6771,CITES,0
6775,CITES,1
6775,CITES,1
6782,CITES,1
6782,CITES,1
6784,CITES,1
6784,CITES,1
6784,CITES,1
6784,CITES,0
6784,CITES,1
6784,CITES,1
6784,CITES,0
6784,CITES,0
6786,CITES,1
6786,CITES,1
6814,CITES,1
6814,CITES,1
6814,CITES,1
6814,CITES,1
6814,CITES,1
6814,CITES,1
6814,CITES,0
6814,CITES,1
6814,CITES,1
6818,CITES,1
6818,CITES,1
6818,CITES,1
6818,CITES,1
6818,CITES,0
6818,CITES,1
6818,CITES,0
6818,CITES,0
6898,CITES,1
6898,CITES,1
6898,CITES,0
6898,CITES,1
6898,CITES,0
6898,CITES,0
6910,CITES,1
6910,CITES,1
6910,CITES,1
6910,CITES,1
6910,CITES,1
6910,CITES,1
6910,CITES,1
6910,CITES,1
6910,CITES,1
6913,CITES,1
6913,CITES,1
6913,CITES,1
6913,CITES,1
6913,CITES,1
6913,CITES,0
6913,CITES,1
6913,CITES,1
6913,CITES,0
6913,CITES,1
6917,CITES,1
6917,CITES,1
6923,CITES,1
6923,CITES,1
6923,CITES,0
6923,CITES,1
6923,CITES,0
6923,CITES,0
6925,CITES,1
6925,CITES,1
6925,CITES,1
6925,CITES,0
6925,CITES,0
6935,CITES,1
6935,CITES,1
6935,CITES,1
6935,CITES,1
6935,CITES,1
6935,CITES,0
6935,CITES,1
6935,CITES,1
6939,CITES,1
6941,CITES,1
7032,CITES,1
7032,CITES,1
7032,CITES,1
7032,CITES,1
7032,CITES,0
7041,CITES,1
7047,CITES,1
7047,CITES,0
7047,CITES,1
7047,CITES,0
7047,CITES,0
7272,CITES,1
7272,CITES,0
7272,CITES,0
7272,CITES,1
7276,CITES,1
7296,CITES,1
7297,CITES,0
7297,CITES,1
7297,CITES,1
7419,CITES,1
7419,CITES,1
7419,CITES,1
7419,CITES,1
7419,CITES,1
7419,CITES,1
7419,CITES,1
7430,CITES,1
7430,CITES,0
7532,CITES,1
7532,CITES,1
7532,CITES,1
7532,CITES,1
7532,CITES,0
7532,CITES,0
7537,CITES,1
7537,CITES,1
7537,CITES,1
7537,CITES,1
7537,CITES,1
7537,CITES,1
7537,CITES,0
7867,CITES,1
7867,CITES,1
8079,CITES,1
8079,CITES,1
8079,CITES,1
8079,CITES,1
8079,CITES,1
8079,CITES,0
8079,CITES,0
8224,CITES,1
8224,CITES,1
8224,CITES,1
8224,CITES,1
8224,CITES,1
8224,CITES,0
8224,CITES,1
8224,CITES,1
8224,CITES,1
8224,CITES,0
8224,CITES,0
8224,CITES,0
8224,CITES,1
8224,CITES,0
8224,CITES,1
8224,CITES,0
8224,CITES,0
8224,CITES,0
8224,CITES,0
8224,CITES,1
8224,CITES,0
8224,CITES,0
8224,CITES,0
8224,CITES,0
8224,CITES,1
8581,CITES,1
8581,CITES,1
8581,CITES,0
8581,CITES,0
8581,CITES,0
8591,CITES,1
8591,CITES,1
8591,CITES,1
8591,CITES,1
8594,CITES,1
8594,CITES,1
8594,CITES,0
8594,CITES,1
8594,CITES,1
8594,CITES,0
8594,CITES,1
8594,CITES,0
8617,CITES,1
8617,CITES,0
8617,CITES,1
8617,CITES,0
8617,CITES,0
8619,CITES,1
8619,CITES,0
8687,CITES,1
8687,CITES,0
8696,CITES,1
8696,CITES,1
